childhood,Inform/Explore,81
stamps,Inform/Explore,19
maturity,Inform/Explore,19
falling,Inform/Explore,12
allows,Inform/Explore,95
delve,Inform/Explore,1
creates,Inform/Explore,63
connection,Inform/Explore,93
least,Inform/Explore,54
through,Inform/Explore,594
write,Inform/Explore,115
respond,Inform/Explore,15
feels,Inform/Explore,101
supposed,Inform/Explore,44
relatable,Inform/Explore,26
lives,Inform/Explore,197
aimed,Inform/Explore,5
particularly,Inform/Explore,12
women,Inform/Explore,686
hopes,Inform/Explore,23
insight,Inform/Explore,30
matured,Inform/Explore,8
bit,Inform/Explore,15
slight,Inform/Explore,6
historical,Inform/Explore,41
context,Inform/Explore,66
generates,Inform/Explore,4
certain,Inform/Explore,119
better,Inform/Explore,240
grew,Inform/Explore,66
environment,Inform/Explore,97
online,Inform/Explore,54
grace,Inform/Explore,8
fleming,Inform/Explore,2
importance,Inform/Explore,67
interpretation,Inform/Explore,19
counsel,Inform/Explore,1
literature,Inform/Explore,99
sound,Inform/Explore,36
understanding,Inform/Explore,111
behind,Inform/Explore,128
works,Inform/Explore,184
creation,Inform/Explore,10
fuller,Inform/Explore,2
appreciation,Inform/Explore,7
narrative,Inform/Explore,32
under,Inform/Explore,94
talks,Inform/Explore,115
leads,Inform/Explore,52
business,Inform/Explore,48
philanthropists,Inform/Explore,4
charity,Inform/Explore,6
however,Inform/Explore,332
guise,Inform/Explore,3
autobiography,Inform/Explore,9
herself,Inform/Explore,163
charitable,Inform/Explore,38
compared,Inform/Explore,74
often,Inform/Explore,161
represented,Inform/Explore,24
committees,Inform/Explore,6
delegations,Inform/Explore,2
disconnected,Inform/Explore,2
recipients,Inform/Explore,4
generosity,Inform/Explore,5
due,Inform/Explore,298
huge,Inform/Explore,47
sums,Inform/Explore,6
support,Inform/Explore,178
organizations,Inform/Explore,32
offer,Inform/Explore,34
health,Inform/Explore,115
education,Inform/Explore,358
society,Inform/Explore,241
principal,Inform/Explore,5
patrons,Inform/Explore,1
arts,Inform/Explore,9
expose,Inform/Explore,6
philanthropist,Inform/Explore,32
precise,Inform/Explore,11
realistic,Inform/Explore,13
far,Inform/Explore,69
ive,Inform/Explore,22
anticipated,Inform/Explore,3
steadfast,Inform/Explore,2
mannerisms,Inform/Explore,1
advantage,Inform/Explore,38
introducing,Inform/Explore,9
create,Inform/Explore,110
ideal,Inform/Explore,14
character,Inform/Explore,145
introduces,Inform/Explore,11
nice,Inform/Explore,18
deal,Inform/Explore,72
grab,Inform/Explore,8
beginning,Inform/Explore,99
cited,Inform/Explore,173
andrew,Inform/Explore,6
james,Inform/Explore,8
research,Inform/Explore,178
repository,Inform/Explore,1
visually,Inform/Explore,8
embodied,Inform/Explore,1
brain,Inform/Explore,16
grounded,Inform/Explore,1
decode,Inform/Explore,1
visualobject,Inform/Explore,1
induced,Inform/Explore,3
5,Inform/Explore,143
oct,Inform/Explore,34
2015,Inform/Explore,85
repositoryessexacuk14390,Inform/Explore,1
btrnu,Inform/Explore,1
stelua,Inform/Explore,1
directory,Inform/Explore,1
open,Inform/Explore,82
access,Inform/Explore,53
journals,Inform/Explore,9
cultural,Inform/Explore,32
intertexts,Inform/Explore,1
casa,Inform/Explore,1
crii,Inform/Explore,1
detiin,Inform/Explore,1
1,Inform/Explore,249
doajorgarticle6f22d9d0d6ed41a39545554295b0781e,Inform/Explore,1
key,Inform/Explore,58
interpretationthoughtco,Inform/Explore,1
20,Inform/Explore,80
aug,Inform/Explore,15
2017,Inform/Explore,276
wwwthoughtcocomwhatishistoricalcontext1857069,Inform/Explore,1
lang,Inform/Explore,1
peter,Inform/Explore,10
j,Inform/Explore,49
imagerythe,Inform/Explore,1
network,Inform/Explore,18
model,Inform/Explore,42
wiley,Inform/Explore,3
library,Inform/Explore,34
sept,Inform/Explore,52
2012,Inform/Explore,60
onlinelibrarywileycomdoi101111j14698986201201437xepdf,Inform/Explore,1
